,player_name,kills,deaths,wins,losess,xp,headshots,melee_kills,games_played,time_played
64,HamidSLI-,"53,150","38,624","5,500","3,574","140,172,035","16,483",902,"9,074","2,831h"
65,DEATHHAWK55,"12,853","8,972","1,721",597,"32,553,334","5,176",185,"2,318",677h
66,lBootzz,"30,816","22,059","3,834","1,585","78,542,413","12,215",364,"5,419","1,733h"
67,fraaggerrr,"10,472","7,983","1,283",623,"28,526,336","4,338",140,"1,906",601h
68,ATKAshh,"6,331","5,299",950,285,"17,837,118","2,314",58,"1,235",370h
69,IBeenLethal,"16,596","10,718","2,564",602,"42,814,975","6,014",140,"3,166","1,075h"
70,yTxrror,282,167,45,7,"614,975",73,7,52,15h
71,Jxidan,"36,511","28,894","4,830","2,942","95,978,728","13,057",336,"7,772","2,325h"
72,lPolleke,"56,777","36,153","6,871","2,802","145,240,334","24,152","1,305","9,673","3,026h"
73,ZayyyOP,"37,435","26,826","4,355","2,599","90,583,019","15,372",522,"6,954","2,196h"
74,SgtPk-,"44,017","32,386","5,104","2,772","107,895,609","15,082",517,"7,876","2,439h"
75,cheesepie37,"30,760","21,442","3,615","1,080","70,095,766","13,324",472,"4,695","1,571h"
76,lJoshV8,"56,824","48,374","7,001","4,700","137,866,865","20,760","1,364","11,701","3,414h"
77,x-Ke,"15,389","11,814","1,776","1,236","38,777,494","5,656",177,"3,012",930h
78,Paladynnn_InVi,"2,369","1,319",322,108,"5,661,229",888,35,430,116h
79,MacTavish-Soap-R,"57,694","43,603","6,781","3,744","145,439,496","22,053",668,"10,525","3,316h"
80,RunQut,"40,121","27,909","3,798","2,857","99,528,106","15,880","1,142","6,655","2,021h"
81,JstBalou,"68,997","60,157","9,065","4,887","183,863,869","21,578","1,319","13,952","4,380h"
82,iansxne,"25,236","10,647","3,068",818,"47,661,555","8,379",485,"3,886","1,071h"
83,li_SpeeD_HelL_il,"35,891","24,672","5,218","2,784","76,493,214","12,832",804,"8,002","1,950h"
84,Ultimona,"46,370","34,997","5,762","3,054","125,364,074","18,646",547,"8,816","2,782h"
85,BooeGN,"42,991","33,520","5,260","3,284","114,324,991","18,738",376,"8,544","2,729h"
86,zNooT-__Cry-_,"32,740","21,408","3,670","2,067","79,332,157","13,288",678,"5,737","1,746h"
87,TaFisHxVll,"25,957","17,768","2,961","1,805","72,710,903","10,011",231,"4,766","1,534h"
88,RobertfulvioOP,"5,013","3,955",617,252,"12,995,351","2,108",66,869,273h
89,Nova_Impulses,"29,397","24,785","4,015","2,119","78,270,214","10,771",669,"6,134","1,817h"
90,TheRealPigg,"1,799","1,160",205,87,"4,743,181",648,8,292,91h
91,lFreedomI,"7,304","4,011",802,163,"16,519,000","3,118",51,965,330h
92,xWizqrd,"12,840","8,689","1,742",742,"29,081,461","4,671",116,"2,484",703h
93,xImPedaz-,"15,099","11,317","1,576","1,083","34,209,364","6,576",360,"2,659",839h
94,IBrankooONFIRE,"24,423","17,898","2,613","1,558","64,690,026","9,405",147,"4,171","1,333h"
95,BlameMarech,"1,844","1,183",214,91,"4,486,025",665,5,305,90h
